ResourceName,ParentAgencyName
9-1-1 Services,"Beaumont, City of"
9/11 Memorial Educational Initiative,New Life Christian Ministry
911,
911,Beaumont Fire Department
911,"Beaumont, City of"
911,Bridge City Police Department
911,City of Laredo - Information Services and Telecommunications - Administration
911,El Paso County 911
911,Nederland Police Department
911,Orange Police Department
911,Port Arthur Police Department
911,Silsbee Police Department
911,Vidor Police Department
911,"Winnsboro, City of"
911 - Bexar County Sheriff Department,Bexar County Sheriff Office
911 - San Antonio Police Department,City of San Antonio - Police Department
911 Communication,El Paso County 911
911 Dispatch,Brewster County
911 Dispatch,Culberson County - Van Horn Sheriff Office
911 Dispatch,El Paso County Sheriff's Office
911 Dispatch,Hudspeth County - Sierra Blanca Sheriff's Office
911 Dispatch,Jeff Davis County
911 Dispatch,"Palmhurst, City of"
911 Dispatch,Presidio County
911 Dispatch,West Central Texas Council of Governments
"911 Dispatch, Socorro",City of Socorro
911 Emergency,Hardin County Sheriff's Office
911 Memorial Educational Initiative,New Life Christian Ministry
911 Program,Alamo Area Council of Governments
911 Program,Lower Rio Grande Valley Development Council
911 Service,City of Mission
911 Service,Town of Combes
911 Services,Bowie County Sheriff's Office
911 Services,"Cameron, County of"
911 Services,City of La Villa
911 Services,City of Lyford
911 Services,City of Mercedes
911 Services,City of Rio Hondo
911 Services,Corsicana Fire Rescue
911 Services,Deep East Texas Council of Governments
911 Services,"Hidalgo, County of"
911 Services,"McAllen, City of"
911 Services,"Primera, City of"
911 Services,"Santa Rosa, City of"
911 Services,"Starr, County of"
911 Services,"Sullivan City, City of"
A,Texas Department of Public Safety (DPS)
A and M College of Juvenile Justice  and  Psychology,
A Brush With Kindness Program,Paris/Lamar County Habitat for Humanity
A Call for Help Case Management,United Way of Abilene
"A Caring Safe Place, Inc.",
A CASA Program,
A CASA Program,CASA of the Sabine Neches Region
A Christian Food Pantry,
"A E Medical Alert, Inc.",
A Family Affair Court Ordered Education Classes,A Family Affair Supervised Visitations and Parenting Services
A Friendly Haven,"AIDS Foundation Houston, Inc."
A Hand Up,
A Hand Up,Nocona Ministries
A Hand Up Christmas Gift,Nocona Ministries
A Helping Hand,
A Matter of Balance Fall Prevention Program,Area Agency on Aging of the Coastal Bend
A Ministry of Love,
A New Entry,
A New Entry - Housing Services,A New Entry
A New Entry Inc.,
A New View of You Initiative,New Life Christian Ministry
A Place for Grace,
A Place of HOPE,
A Place of Hope,"HOPE for the Wounded Heart Ministries, Inc."
A Resource for Women,Pregnancy Lifeline
A Way Out Women's Center,
A Wish With Wings Inc,
A Woman's Haven,"A Woman's Haven, Inc."
"A Woman's Haven, Inc.",
A Women's Refuge,New Birth Ministries-A Women's Refuge
A World for Children,
A-Teens for Teen Girls,Alliance for Women and Children
A. D. A.,
A. N. McCallum High School,Austin Independent School District (AISD)
a.a.,
A.A.,Alcoholics Anonymous of Lubbock
A.I.M.,
A.M.E.N. - Food Pantry and Basic Needs Assistance,Area Ministries for Emergency Needs (A.M.E.N.)
A/TRC RRT,
AA,
AA,Abilene Open Door
AA,Alcoholics Anonymous - North Texas
AA,Alcoholics Anonymous - Tip of Texas
AA,Alcoholics Anonymous of Lubbock
AA,Alcoholics Anonymous Victoria
AA,Church of Christ of Floresville - Alcoholics and Narcotics Anonymous
AA Central Service Office in Tyler,Alcoholics Anonymous ET
AA La Vernia,Alcoholics Anonymous - La Vernia
AA New Braunfels,Alcoholics Anonymous of New Braunfels
AA San Antonio,Alcoholics Anonymous Central Service Office
AAA,
AAA,Area Agency on Aging of the Concho Valley AAA
AAA,Area Agency on Aging Tarrant County
AAA,Capital Area Council of Governments (CAPCOG)
AAA,East Texas Council Of Governments
AAA,Heart of Texas Council of Governments
AAA,Lower Rio Grande Valley Development Council
AAA,Rio Grande Council of Governments
AAA,South East Texas Regional Planning Commission
AAA,South Plains Area Agency on Aging AAA
AAA,South Texas Development Council - Laredo
AAA - Benefits Counseling,South Plains Area Agency on Aging AAA
AAA - Caregiver Support,South Plains Area Agency on Aging AAA
"AAA - Information, Referral and Assistance",West Central Texas Council of Governments
AAA - National Family Caregiver Support Program,West Central Texas Council of Governments
AAA - Nursing Home Ombudsman,West Central Texas Council of Governments
AAA - Ombudsman,South Plains Area Agency on Aging AAA
AAA of East Texas,East Texas Council Of Governments
AAA- Care Coordination Program,South Plains Area Agency on Aging AAA
"AAA-Alzheimer's or Dementia Classes, Stress -  Busting Program",Rio Grande Council of Governments
AAA-Houston,
AAA-Houston,Area Agency on Aging-Harris County
AAA-Telephone Lifeline Program,Rio Grande Council of Governments
AAACoC,
AAACoC,Greater Austin Asian Chamber of Commerce
AAAFA,
AAAFA,Austin African-American Firefighters Association
AABC,
AABC,Austin Area Birthing Center
AABHC,
AABIDA,
AABIDA,Austin Area Branch of the International Dyslexia Association
AAC,City of Austin - Austin Animal Center
AACC,
AACC,Asian American Cultural Center
AACOG,
AAE,
AAFPRS,
AAFPRS - Face To Face Program,American Academy Of Facial Plastic and Reconstructive Surgery
AAFPRS - Faces of Honor,American Academy Of Facial Plastic and Reconstructive Surgery
AAFPRS - Information and Referral,American Academy Of Facial Plastic and Reconstructive Surgery
AAH,
AAH,Austin Area Homeschoolers
AAMA,
AAMA,Association for the Advancement of Mexican Americans
AAMA,The Association for the Advancement of Mexican Americans
AAMA  (Association for the Advancement of Mexican Americans,
AAMHC - Peer Mentor Program,"Austin Area Mental Health Consumers, Inc. (AAMHC)"
AAMHC - Return to Work Program,"Austin Area Mental Health Consumers, Inc. (AAMHC)"
AAMHC - Support Group Services,"Austin Area Mental Health Consumers, Inc. (AAMHC)"
AAP,
AAP,American Academy of Pediatrics (AAP)
AAP - Children and Disasters,American Academy of Pediatrics (AAP)
AARC,Alamo Area Resource Center
AARO,
AARO,Austin Area Research Organization (AARO)
AARP,
AARP,AARP Foundation - Senior Community Employment Program -  El Paso
AARP,Coalition of Community Assistance Volunteers  CCAV
AARP ,Tax-Aide
AARP,Victoria County Senior Citizens Association - Main
AARP - Benefits QuickLINK,AARP Foundation
AARP - Calvary Lutheran Church - CV area,Tax-Aide
AARP - CV area,
AARP - CV area - Tax-Aide,Tax-Aide
AARP - El Paso County,Coalition for Family Economic Progress - RG Area
AARP - Prepare to Care,AARP Foundation
AARP 55 Alive Driving Class,AARP Foundation
AARP Amarillo,
AARP Driver Safety Program,AARP Foundation
AARP Foundation,
AARP Foundation  - Greater Austin Area,
AARP Foundation - Senior Community Employment Program -  El Paso,
AARP Foundation - Senior Community Service Employment Program,AARP Foundation  - Greater Austin Area
AARP Foundation Tax-Aide - Alamo Region,
AARP Foundation WorkSearch,
AARP Foundation WorkSearch,AARP Foundation WorkSearch - San Antonio
AARP Foundation WorkSearch - San Antonio,
AARP GIC,AARP Foundation
AARP Senior Community Service Employment,
AARP Tax Aide,
AARP Tax Aide,AARP Tax Aide
AARP Tax Aide,AARP Tax Aide - Fort Worth Region
AARP Tax Aide - Fort Worth Region,
AARP Tax Aide Program,AARP Tax Aide-Amarillo
AARP Tax Aide Site,AARP Tax Aide - Tip of Texas
AARP Tax Aide-Amarillo,
AARP Tax Assistance- PB Area,Big Spring Senior Center
AARP Tax preparation,McKinney Library
AARP Tax Preparation Assistance  - Victoria County,Victoria County Senior Citizens Association - Main
AARP Tax Preparation Assistance Yoakum,City of Yoakum
AARP TaxAide,
AARP Texas Primary Services,AARP Foundation
AAUL,
AAUL,"Austin Area Urban League, Inc."
AAYC,
AAYHF,
AAYHF,African American Youth Harvest Foundation
AAYHF - 360SG,African American Youth Harvest Foundation
AAYHF - Dell Youth CITI,African American Youth Harvest Foundation
AAYHF - Ivy Dolls,African American Youth Harvest Foundation
AAYHF - Krew 12,African American Youth Harvest Foundation
AAYHF - Man Up,African American Youth Harvest Foundation
AAYHF - S.H.I.F.T. Mentoring,African American Youth Harvest Foundation
AAYHF - Shift Ascension,African American Youth Harvest Foundation
AAYHF - Tech Wiz and Tech Wiz Too,African American Youth Harvest Foundation
AAYHF - Youth Alliance,African American Youth Harvest Foundation
ABA,
ABA Therapy,Autism Treatment Center
Abandoned Infant Assistance-Family Outpatient Program,Aliviane Inc. Administration
Abba House,Downtown Women's Center
Abba Women's Center,
ABBA Women's Center Services,Abba Women's Center
ABC,
ABC,Any Baby Can Child And Family Resource Center
"ABC Behavioral Health, LLC",
ABC Center for Children,MHMR Services for the Concho Valley
ABC Program,Betty Hardwick Center
ABC Soup Kitchen,Austin Baptist Chapel
ABCD,
ABCD,After Breast Cancer Diagnosis
ABCD - Information Lines,After Breast Cancer Diagnosis
ABE,McLennan Community College Adult Education
Aberg Center For Literacy,
"Abernathy, City of ",
"Abernathy, City of","Abernathy, City of "
ABIA,
ABIA,City of Austin - Aviation Department
Abiding Love Food Pantry,Abiding Love Lutheran Church
Abiding Love Lutheran Church,
Abigail's Arms  - Batterer's Intervention and Prevention Program (BIPP),Abigail's Arms Cooke County Family Crisis Center
Abigail's Arms  - Sexual Assault Interagency Forensic Team (SAIF),Abigail's Arms Cooke County Family Crisis Center
Abigail's Arms Cooke County Family Crisis Center,
Abigail's Arms Cooke Family Crisis Center,Abigail's Arms Cooke County Family Crisis Center
Abilene - Taylor County Public Health District,
Abilene -Taylor County Health Department; Health Department,
Abilene -Taylor County Health Department; Health Department,Abilene - Taylor County Public Health District
Abilene Adult Education,
Abilene Adult Education,Taylor County Adult Literacy Council
Abilene Airport,
Abilene Airport,City of Abilene - Aviation
Abilene Alzheimer's,
Abilene Alzheimer's,Alzheimer's Association - Abilene Office
Abilene Association of Realtors,
Abilene Baptist Social Ministries,
Abilene Behavioral Health,
Abilene Board of Realtors,
Abilene Board of Realtors,Abilene Association of Realtors
Abilene Boys  and  Girls Club,
Abilene Boys  and  Girls Club,"Boys & Girls Club of Abilene, Inc."
Abilene Boys and Girls Club,
Abilene Boys and Girls Club,"Boys & Girls Club of Abilene, Inc."
Abilene Civic Center,City of Abilene - Community Services
Abilene Clean  and  Proud,City of Abilene - Public Works
Abilene Community Health Center - TTUHSC,
Abilene Crime Stoppers,City of Abilene - Police
"Abilene Crime Stoppers, Inc.",City of Abilene - Police
Abilene Diagnostic Clinic,
Abilene Diagnostic Clinic,Abilene Diagnostic Women's Health Clinic
Abilene Diagnostic Clinic Walk-In South,Abilene Diagnostic Women's Health Clinic
Abilene Diagnostic Women's Health Clinic,
Abilene Dinner Table,
Abilene Dinner Table,Connecting Caring Communities
Abilene Fire Department,
Abilene Fire Department,City of Abilene - Fire
Abilene Goodwill,
Abilene Goodwill,Goodwill - West Texas Headquarters
Abilene Habitat for Humanity,
Abilene Health Department,
Abilene Health Department,Abilene - Taylor County Public Health District
"Abilene Hope Haven, Inc.",
Abilene Housing Authority,
Abilene Independent School District,
Abilene ISD,
Abilene ISD,Abilene Independent School District
Abilene Jubilee House,
Abilene Jubilee House,Abilene Jubilee House
Abilene LIFT,Hendrick Health System
Abilene Mental Health,
Abilene Mental Health,Mental Health America of Abilene
Abilene Open Door,
Abilene Outpatient Clinic,West  Texas VA Health  Care System
Abilene Police Department,
Abilene Police Department,City of Abilene - Police
Abilene Psychiatric Center,
Abilene Psychiatric Center,Abilene Behavioral Health
Abilene Public Health Department; Public Health District; ATCPHD,
Abilene Public Health Department; Public Health District; ATCPHD,Abilene - Taylor County Public Health District
Abilene Public Housing Authority,
Abilene Public Housing Authority,Abilene Housing Authority
Abilene Recreation After School Program,City of Abilene - Community Services
Abilene Regional,
Abilene Regional Airport,
Abilene Regional Airport,City of Abilene - Aviation
Abilene Regional Council on Alcohol and Drug Abuse (ARCADA),
Abilene Regional Medical Center,
Abilene Regional Medical Center,Abilene Regional Medical Center
Abilene Transition Center,BCFS Health and Human Services - Abilene Office
Abilene Vet Center,Taylor County Vet Center
Abilene Water Department,
Abilene Water Department,City of Abilene - Water Utilities
Abilene Zoo,City of Abilene - Community Services
Abilene/Taylor County Storm Shelter Registration,City of Abilene - General Government
Abilene411,City of Abilene - General Government
Ability Connection Texas,
Ability Connection Texas - Comprehensive Care and Support,Ability Connection Texas
Ability Connection Texas - El Paso,
Ability One Program,Ready One Industries
Ability Resources Incorporated (ARI),
ABLE,First Baptist Church Community Services
Able Center for Independent Living,
ABLES,Texas Department of State Health Services (DSHS)
ABR,
ABR,Abilene Association of Realtors
Absentee Voting,Brazoria County Clerk
Absentee Voting,Chambers County Judge's Office
Absentee Voting,Colorado County Judge's Office
Absentee Voting,Fort Bend County Judge's Office
Absentee Voting,Galveston County Judge's Office
Absentee Voting,Liberty County Judge's Office
Absentee Voting,Matagorda County Judge's Office
Absentee Voting,Montgomery County Judge's Office
Absentee Voting,Walker County Tax Assessor-Collector
Absentee Voting,Waller County Judge's Office
Absentee Voting,Wharton County Judge's Office
ABSM,Abilene Baptist Social Ministries
Abstinence Classes,Pregnancy Care Center of Southeast Texas
Abundant Grace Community Church,
Abundant Life Church of God Northside Campus,
Abundant Life Church of God Southside Campus,
Abuse Child/Adult,High Sky Children's Ranch
Abuse Child/Adult,NewBridge Family Shelter
Abuse Supportive Services,Scotty's House
Abuse Supportive Services,"Voices for Children, Inc."
ABVM,
ACA,
ACA,Austin Creative Alliance
ACA,Betty Hardwick Center
ACA,CentroMed
ACA,MHP Salud
ACA,Nuestra Clinica Del Valle
ACA,Su Clinica Familiar
ACADA,
Academic and Behavior Centers,Harris County Department of Education
Academic Courses,Houston Community College System
Academic Studio - Central Texas College,Central Texas College
Academic Support & Parental Involvement,"Houston Area Urban League, Inc."
Academic Support Services,LULAC District 8 Office
Academy of Accelerated Learning,
Acadia Healthcare,
Acadia Healthcare,Abilene Behavioral Health
Acadian Ambulance Service,
ACB,
ACB - Information and Referral,American Council of the Blind
ACC,
ACC,Austin Community College (ACC)
ACC,Austin Convention and Visitors Bureau
ACC CCBNO,
ACC CCBNO,Austin Community College Center for Nonprofit Studies
ACC Center for Community-Based and Nonprofit Organizations,
ACC Center for Community-Based and Nonprofit Organizations,Austin Community College Center for Nonprofit Studies
ACC Center for Nonprofit Studies - Nonprofit Certificate programs and Educational Opportunities,Austin Community College Center for Nonprofit Studies
ACC CNS,
ACC CNS,Austin Community College Center for Nonprofit Studies
ACCD,Austin Convention and Visitors Bureau
Accelerated Craft Training Program - Pipefitting,Craft Training Center of the Coastal Bend
ACCESS,
ACCESS,ACCESS
ACCESS,ACCESS MHMR Jacksonville
ACCESS (Aransas County Counseling and Educational Support Services,
Access and Visitation Services/Safe Exchange,"Family Services Center, Inc."
"Access Care Coastal Texas, Inc.",
ACCESS Case/Care Management,ACCESS MHMR Jacksonville
Access Center for the Visually & Hearing Impaired,Houston Public Library
"Access Esperanza Clinics, Inc.",
"Access Health, Inc.",
ACCESS Jacksonville Clinic,ACCESS MHMR Jacksonville
ACCESS MHMR Jacksonville,
ACCESS Palestine Clinic,ACCESS MHMR Jacksonville
ACCESS STAR Program,ACCESS MHMR Jacksonville
"Access to Alcohol & Substance Abuse, OSAR Region 10","Region 10 Outreach, Screening, Assessment, and Referral Program Emergence Health Network"
Access to Breast Care for West Texas,Laura W. Bush Institute for Women's Health
Access to Community Care and Effective Services and Support,
Access to Community Care and Effective Services and Support,Austin Travis County Integral Care (ATCIC) - Behavioral Health and Developmental Disabilities Services
Accessibility Project,St. Mark's Episcopal Church
Accessibility Review Services,Houston Center for Independent Living
Accessible Communities,
"Accessible Space, Inc.",
ACCION (Against Colorectal Cancer In Our Neighborhoods) for Rural West Texas,
ACCION (Against Colorectal Cancer In Our Neighborhoods) for Rural West Texas,ACCION (Against Colorectal Cancer In Our Neighborhoods) for Rural West Texas
ACCION Texa (Austin Office) - Small Business Services,ACCION Texas (Austin Office)
Accion Texas,
Accion Texas,Lift Fund
ACCION Texas,Lift Fund - Tip of Texas
ACCION Texas (Austin Office),
ACCION Texas Inc,
"ACCION Texas, Inc",
ACFH,United Way of Abilene
ACFL,Literacy Coalition of Central Texas
ACGC,
ACGC,Austin Child Guidance Center
ACH,Another Chance House
ACH Child and Family Services,
Achieving Success through Parental Involvement,
Achieving Success through Parental Involvement,Communities in Schools of Central Texas (CIS)
ACLU - Legal Assistance,ACLU Foundation of Texas
ACLU Foundation of Texas,
ACN,
ACN,Autism Community Network
ACO Resale Shop,Allen Community Outreach
ACoC,
ACoC,Greater Austin Asian Chamber of Commerce
ACoT,
ACoT,Austin Creative Alliance
ACS,
ACS,American Cancer Society - Abilene Office
ACS,"American Cancer Society, San Antonio Metropolitan Unit"
ACS,Army Community Service
ACS,Austin Children's Services
ACS,City of Abilene - Police
ACS - Information and Referral,American Cancer Society (ACS)
ACS - Look Good Feel Better Program,American Cancer Society (ACS)
ACS - Reach To Recovery,American Cancer Society (ACS)
ACS - Road to Recovery,American Cancer Society (ACS)
ACS Army Community Service,
ACS Employment Readiness Branch,Army Community Service
ACSCA,
ACSEC,
ACSEC,Anderson County Special Education Co-op
ACT,
ACT,Ability Connection Texas - El Paso
ACT,Aware Central Texas
ACT,San Marcos Youth Service Bureau
ACT (American College Testing),
ACT - Educational Services,ACT (American College Testing)
ACT Team,
ACT Team,Austin Travis County Integral Care (ATCIC) - Behavioral Health and Developmental Disabilities Services
Action,"AIDS Services of Austin, Inc."
"Actions, Inc. of Brazoria County",
Active Community Teen Program,
Active Community Teen Program,San Marcos Youth Service Bureau
Active Life,
Active Military - Emergency Funds/Financial Assistaince,ACS Army Community Service
"Active Military - Family Advocay Progarm FAP,",ACS Army Community Service
Active Older Adults,Young Men's Christian Association of Greater Houston YMCA
Active Older Adults,Young Mens Christian Association of Abilene (YMCA)
Active Older Adults Services,YMCA of Central Texas
Active Transportation Program,City of Austin - Public Works Department
Activities,"Boy Scouts of America, Sam Houston Area Council"
Activities for Senior Citizens,Chandler Center
Activity Based Early Intervention,The Arbor School
Activity Center and Fitness Services,City of San Marcos - Parks and Recreation Department
Acute Care,Clarity Child Guidance Center
Acute Care Facility,McCamey County Hospital District
ACVB,
ACVB,Austin Convention and Visitors Bureau
ADA,
ADA,American Dental Association
ADA,United States Department of Justice (US DOJ)
ADA - Dental Information,American Dental Association
ADA Act Office,
ADA Act Office,City of Austin - ADA Office
ADA Paratransit Service,Port Arthur Transit
ADA Women's Center,
ADA Women's Center Residential Treatment Program,The Alcohol/Drug Abuse Women's Center
ADAAP,
ADACCV,
ADACCV,Alcohol & Drug Abuse Council for the Concho Valley
ADAEP,San Antonio Council on Alcohol and Drug Abuse
Adams Bend Apartments,Central Texas Housing Consortium
Adapt Of Texas - Austin,
"Adapt of Texas, Inc.",
Adapted Fitness Programs,City of San Antonio - Department of Parks and Recreation
Adaptive Aquatics Waco Family YMCA,YMCA of Central Texas
Adaptive Behavior Choices,
Adaptive Recreation Services,City of Abilene - Community Services
ADC,Austin Diagnostic Clinic
ADDA-SR,
Addiction Recovery Center,MHMR of Tarrant County
Addiction Support Group,Narcotics Anonymous-Coastal Bend Area
Addictive Behavior Group,Self-Management And Recovery Training S.M.A.R.T.
Addictive Behaviors Clinic,University of Texas Health Science Center at Houston
ADEAR,National Institute of Health (NIH)
ADHD Parenting Class,Austin Child Guidance Center
Adjudications,United States Citizenship and Immigration Services - San Antonio Field Office
Adjusting to Parenthood,University of Houston System
ADL,
Administration,Arlington Independent School District
Administration,Arlington Parks & Recreation Department
Administration,Arlington Public Library
Administration,Catholic Charities Fort Worth
Administration,Challenge of Tarrant County
Administration,Child Care Associates
Administration,Christian Center of Fort Worth
Administration,Clayton YES! (Youth Enrichment Services)
Administration,Community Action Partners Fort Worth Parks and Community Services (CAP)
Administration,Fort Worth Fire Department
Administration,Fort Worth Independent School District
Administration,Hope Literacy Inc (Helping Other People Excel)
Administration,MHMR of Tarrant County
Administration,NEED (North East Emergency Distribution)
Administration,North Central Texas Council of Governments
Administration,Parks and Community Services Department Fort Worth
Administration,Pecan Valley Centers for Behavioral and Developmental Healthcare
Administration,Tarrant County Bar Association
Administration,Tarrant County College District
Administration,Tarrant County Public Health Department
Administration,Texas A&M Agrilife Extension Service - Tarrant County
Administration,United Community Centers Inc
Administration,United Way of South Texas
Administration ,United Way of Southern Cameron County
Administration,United Way of Tarrant County
Administration,UNT Health Science Center
Administration,Veterans Integrated Services Network (VISN) 17
Administration,Volunteers of America - Fort Worth Area
Administration,Women's Center of Tarrant County Inc The
Administration,Workforce Solutions for North Central Texas
Administration,Workforce Solutions for Tarrant County
Administration,YMCA of Arlington
Administration,YMCA of Metropolitan Fort Worth
Administration - Community Youth Development Program Contractors,Rio Grande Valley Empowerment Zone Corporation
Administration and Intellectual Development Disorder Services,MHMR Services for the Concho Valley
Administration WIC Office,"El Paso Women's, Infants and Children Program-WIC"
Administrative and Instructional Services,"Education Service Center, Region 20"
Administrative Entities,Anderson-Shiro Consolidated Independent School District
Administrative Entities,Brazos Valley Community Action Agency - BVCAA
Administrative Entities,City of Dallas Public Library
Administrative Entities,Community Council of Greater Dallas
Administrative Entities,Family Gateway
Administrative Entities,"Juliette Fowler Homes, Inc."
Administrative Entities,National Council of Jewish Women
Administrative Entities,Presbyterian Healthcare System
Administrative Entities,Twin City Mission
Administrative Entities,United Way of the Brazos Valley
Administrative Entities,Workforce Solutions Northeast Texas
Administrative Greater Austin,
Administrative Greater Austin - Carousel Pediatrics,Administrative Greater Austin
Administrative Greater Austin - Craigslist,Administrative Greater Austin
Administrative Greater Austin - Drug Testing and Screening,Administrative Greater Austin
Administrative Greater Austin - Nonprofit Listings in Austin,Administrative Greater Austin
Administrative Greater Austin - Passport Health,Administrative Greater Austin
Administrative Greater Austin - Pro Med Urgent Care,Administrative Greater Austin
Administrative Greater Austin - Smile Center Dental,Administrative Greater Austin
Administrative Office,Central Health
Administrative Office,Meals on Wheels of Texoma
Administrative Office,"Neighbors in Need of Service, Inc."
Administrative Office,Nueces County Hospital District
Administrative Office,Region One Education Service Center
Administrative Office,Texas Department of State Health Services (DSHS) - Health Service Region 6/5
Administrative Office,The Salvation Army-Corpus Christi
Administrative Offices,Behavioral Health Center of Nueces County
Administrative Offices,"The Children's Center, Inc."
Administrative Services,"Accessible Space, Inc."
